JUDET,UAT
AB,ALBAC
AB,ALMAŞU MARE
AB,ARIEŞENI
AB,AVRAM IANCU
AB,BERGHIN
AB,BISTRA
AB,BLANDIANA
AB,BUCERDEA GRÂNOASĂ
AB,BUCIUM
AB,CENADE
AB,CERGĂU
AB,CERU-BĂCĂINŢI
AB,CETATEA DE BALTĂ
AB,CIUGUD
AB,CIURULEASA
AB,CRICĂU
AB,CRĂCIUNELU DE JOS
AB,CUT
AB,CÂLNIC
AB,DAIA ROMÂNĂ
AB,DOŞTAT
AB,FĂRĂU
AB,GALDA DE JOS
AB,GÂRBOVA
AB,GÂRDA DE SUS
AB,HOPÂRTA
AB,HOREA
AB,IGHIU
AB,JIDVEI
AB,LIVEZILE
AB,LOPADEA NOUĂ
AB,LUNCA MUREŞULUI
AB,LUPŞA
AB,METEŞ
AB,MIHALŢ
AB,MIRĂSLĂU
AB,MOGOŞ
AB,MUNICIPIUL AIUD
AB,MUNICIPIUL ALBA IULIA
AB,MUNICIPIUL BLAJ
AB,MUNICIPIUL SEBEŞ
AB,NOŞLAC
AB,OCOLIŞ
AB,OHABA
AB,ORAŞ ABRUD
AB,ORAŞ BAIA DE ARIEŞ
AB,ORAŞ CUGIR
AB,ORAŞ CÂMPENI
AB,ORAŞ OCNA MUREŞ
AB,ORAŞ TEIUŞ
AB,ORAŞ ZLATNA
AB,PIANU
AB,POIANA VADULUI
AB,PONOR
AB,POŞAGA
AB,RIMETEA
AB,ROŞIA DE SECAŞ
AB,ROŞIA MONTANĂ
AB,RÂMEŢ
AB,RĂDEŞTI
AB,SCĂRIŞOARA
AB,SOHODOL
AB,STREMŢ
AB,SÂNCEL
AB,SÂNTIMBRU
AB,SĂLCIUA
AB,SĂLIŞTEA
AB,SĂSCIORI
AB,UNIREA
AB,VADU MOŢILOR
AB,VALEA LUNGĂ
AB,VIDRA
AB,VINŢU DE JOS
AB,ÎNTREGALDE
AB,ŞIBOT
AB,ŞONA
AB,ŞPRING
AB,ŞUGAG
AG,ALBEŞTII DE ARGEŞ
AG,ALBEŞTII DE MUSCEL
AG,ALBOTA
AG,ANINOASA
AG,AREFU
AG,BASCOV
AG,BELEŢI-NEGREŞTI
AG,BEREVOEŞTI
AG,BOGAŢI
AG,BOTENI
AG,BOŢEŞTI
AG,BRADU
AG,BRĂDULEŢ
AG,BUDEASA
AG,BUGHEA DE JOS
AG,BUGHEA DE SUS
AG,BUZOEŞTI
AG,BÂRLA
AG,BĂBANA
AG,BĂICULEŞTI
AG,BĂLILEŞTI
AG,CEPARI
AG,CETĂŢENI
AG,CICĂNEŞTI
AG,CIOFRÂNGENI
AG,CIOMĂGEŞTI
AG,COCU
AG,CORBENI
AG,CORBI
AG,COTMEANA
AG,COŞEŞTI
AG,CUCA
AG,CĂLDĂRARU
AG,CĂLINEŞTI
AG,CĂTEASCA
AG,DAVIDEŞTI
AG,DOBREŞTI
AG,DOMNEŞTI
AG,DRAGOSLAVELE
AG,DRĂGANU
AG,DÂMBOVICIOARA
AG,DÂRMĂNEŞTI
AG,GODENI
AG,HÂRSEȘTI
AG,HÂRTIEŞTI
AG,IZVORU
AG,LEORDENI
AG,LEREŞTI
AG,LUNCA CORBULUI
AG,MERIŞANI
AG,MICEŞTI
AG,MIHĂEŞTI
AG,MIOARELE
AG,MIROŞI
AG,MORĂREŞTI
AG,MOZĂCENI
AG,MOŞOAIA
AG,MUNICIPIUL CURTEA DE ARGEŞ
AG,MUNICIPIUL CÂMPULUNG
AG,MUNICIPIUL PITEŞTI
AG,MUŞĂTEŞTI
AG,MĂLURENI
AG,MĂRĂCINENI
AG,NEGRAŞI
AG,NUCŞOARA
AG,OARJA
AG,ORAŞ COSTEŞTI
AG,ORAŞ MIOVENI
AG,ORAŞ TOPOLOVENI
AG,ORAŞ ŞTEFĂNEŞTI
AG,PIETROŞANI
AG,POIANA LACULUI
AG,POIENARII DE ARGEŞ
AG,POIENARII DE MUSCEL
AG,POPEŞTI
AG,PRIBOIENI
AG,RECEA
AG,ROCIU
AG,RUCĂR
AG,RÂCA
AG,RĂTEŞTI
AG,SCHITU GOLEŞTI
AG,SLOBOZIA
AG,STOENEŞTI
AG,STOLNICI
AG,STÂLPENI
AG,SUSENI
AG,SĂLĂTRUCU
AG,SĂPATA
AG,TEIU
AG,TIGVENI
AG,UDA
AG,UNGHENI
AG,VALEA DANULUI
AG,VALEA IAŞULUI
AG,VALEA MARE-PRAVĂŢ
AG,VEDEA
AG,VLĂDEŞTI
AG,VULTUREŞTI
AG,ŞTEFAN CEL MARE
AG,ŞUICI
AG,ŢIŢEŞTI
AR,ALMAŞ
AR,APATEU
AR,ARCHIŞ
AR,BATA
AR,BELIU
AR,BIRCHIŞ
AR,BOCSIG
AR,BRAZII
AR,BUTENI
AR,BÂRSA
AR,BÂRZAVA
AR,CERMEI
AR,CHISINDIA
AR,CONOP
AR,COVĂSINŢ
AR,CRAIVA
AR,CĂRAND
AR,DEZNA
AR,DIECI
AR,DOROBANŢI
AR,FELNAC
AR,FRUMUŞENI
AR,FÂNTÂNELE
AR,GHIOROC
AR,GRĂNICERI
AR,GURAHONŢ
AR,HĂLMAGIU
AR,HĂLMĂGEL
AR,HĂŞMAŞ
AR,IGNEŞTI
AR,IRATOŞU
