JUDET,RESEDINTA
AB,MUNICIPIUL ALBA IULIA
AR,MUNICIPIUL ARAD
BC,MUNICIPIUL BACĂU
BH,MUNICIPIUL ORADEA
BN,MUNICIPIUL BISTRIȚA
BR,MUNICIPIUL BRĂILA
BZ,MUNICIPIUL BUZĂU
CJ,MUNICIPIUL CLUJ-NAPOCA
CV,MUNICIPIUL SFÂNTU GHEORGHE
DJ,MUNICIPIUL CRAIOVA
GR,MUNICIPIUL GIURGIU
GJ,MUNICIPIUL TÂRGU JIU
HR,MUNICIPIUL MIERCUREA-CIUC
HD,MUNICIPIUL DEVA
IL,MUNICIPIUL SLOBOZIA
MM,MUNICIPIUL BAIA MARE
MH,MUNICIPIUL DROBETA-TURNU SEVERIN
OT,MUNICIPIUL SLATINA
SM,MUNICIPIUL SATU MARE
SJ,MUNICIPIUL ZALĂU
SB,MUNICIPIUL SIBIU
SV,MUNICIPIUL SUCEAVA
TR,MUNICIPIUL ALEXANDRIA
TL,MUNICIPIUL TULCEA
VS,MUNICIPIUL VASLUI
VL,MUNICIPIUL RÂMNICU VÂLCEA
AG,MUNICIPIUL PITEȘTI
B,MUNICIPIUL BUCUREȘTI
BT,MUNICIPIUL BOTOȘANI
BV,MUNICIPIUL BRAȘOV
CL,MUNICIPIUL CĂLĂRAȘI
CS,MUNICIPIUL REȘIȚA
CT,MUNICIPIUL CONSTANȚA
DB,MUNICIPIUL TÂRGOVIȘTE
GL,MUNICIPIUL GALAȚI
IF,ORAȘUL BUFTEA
IS,MUNICIPIUL IAȘI
MS,MUNICIPIUL TÂRGU MUREȘ
NT,MUNICIPIUL PIATRA-NEAMȚ
PH,MUNICIPIUL PLOIEȘTI
TM,MUNICIPIUL TIMIȘOARA
VN,MUNICIPIUL FOCȘANI
